date,equity,close,state,side,emaFast,ema52,dea,fourDif,priceCross,longAllowed,filterLong
"2025-02-11",12184.192060323934,95778.2,"transition",0,98985.81882222473,98152.93940255558,-424.96839992149455,-214.72637959610438,false,false,true
"2025-02-12",12184.192060323934,97869.99,"transition",0,98899.98583589976,98142.26206661008,-540.3608714936685,-146.57534117369505,false,false,true
"2025-02-13",12184.192060323934,96608.14,"transition",0,98723.69000236903,98084.37066787008,-638.789978678965,-226.99974514139467,false,false,true
"2025-02-14",12184.192060323934,97500.48,"transition",0,98629.59692526373,98062.33705776178,-705.7342661484066,106.13205740402918,false,false,true
"2025-02-15",12184.192060323934,97569.66,"transition",0,98548.06331562807,98043.74547067643,-746.7229107692892,224.24123199415044,false,false,true
"2025-02-16",12184.192060323934,96118.12,"transition",0,98361.14459904129,97971.08035857543,-790.7509091898232,7.012280427268706,false,false,true
"2025-02-17",12184.192060323934,95780,"transition",0,98162.59501449966,97888.39808089334,-837.9681211078849,-333.4276455169311,false,false,true
"2025-02-18",12184.192060323934,95671.74,"transition",0,97970.99078261507,97804.75060614265,-884.5263922090721,-472.34080171759706,false,false,true
"2025-02-19",12184.192060323934,96644.37,"transition",0,97868.94303010622,97760.96265874103,-910.6972323081468,-153.81486079090973,false,false,true
"2025-02-20",12184.192060323934,98305,"transition",0,97902.48587394421,97781.49236973193,-894.1476619680941,357.38138852565316,true,false,true
"2025-02-21",12184.192060323934,96181.98,"transition",0,97770.1392682562,97721.13341238355,-883.5229225912159,203.46320610959083,false,false,true
"2025-02-22",12184.192060323934,96551.01,"transition",0,97676.36009377496,97676.97781191625,-869.2673332951357,-18.863443400259712,false,false,true
"2025-02-23",12184.192060323934,96258,"transition",0,97567.25547117688,97623.43147939112,-856.1768664896179,-202.71981014995254,false,false,true
"2025-02-24",12184.192060323934,91552.88,"transition",0,97104.61120416327,97394.35406507448,-917.6189411198654,-783.2063514158363,false,false,true
"2025-02-25",12184.192060323934,88680.4,"transition",0,96456.59495768919,97065.52560978864,-1066.2929752651462,-2153.219706744887,false,false,true
